date_key,account,daily_pnl,trade_count,avg_trade_size,avg_leverage,wins,classification,sentiment_value,win_rate
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,338.42832,8,3292.47625,499793708.4055143,1,Extreme Greed,83.0,0.125
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5509.2545,35,7132.707714285714,2857023143.7800875,32,Extreme Greed,83.0,0.9142857142857143
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,388.830831,19,3995.254210526316,332391099.1951682,8,Extreme Greed,83.0,0.42105263157894735
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,228.57984,6,4537.276666666667,500098867.20668393,1,Extreme Greed,81.0,0.16666666666666666
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,5000.0,0.0013076133289043619,0,Extreme Greed,81.0,0.0
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,429.683075,14,6218.810714285714,860.2491467655392,4,Extreme Greed,79.0,0.2857142857142857
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,73.61088,7,705.8557142857143,358185728.48435956,6,Extreme Greed,79.0,0.8571428571428571
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,3751.305,3751305000.0,0,Extreme Greed,79.0,0.0
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,12,2833.491666666667,249914218.05644777,0,Extreme Greed,77.0,0.0
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1244.6384,6,8540.285,4166421667.970773,5,Extreme Greed,77.0,0.8333333333333334
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,212.3193,1,5214.47,14.219989053122475,1,Extreme Greed,77.0,1.0
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,4,2266.8775,221.44324651777785,0,Extreme Greed,79.0,0.0
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,842.799493,10,18098.891,1442183000.414723,5,Extreme Greed,79.0,0.5
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-174.00152,10,2982.842,45322040.54774408,0,Extreme Greed,79.0,0.0
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2593.147623,59,2446.8210169491526,1224465423.9085,56,Greed,74.0,0.9491525423728814
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3829.986976,10,7134.341,1051345662.4798803,4,Greed,74.0,0.4
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,1,9744.18,791.6819037973138,0,Extreme Greed,78.0,0.0
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2097.182,23,4256.877391304348,2174029565.336548,22,Extreme Greed,78.0,0.9565217391304348
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,238.326075,4,2560.8025000000002,543412500.0780423,1,Extreme Greed,78.0,0.25
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1297.018477,19,4873.274210526315,18320014.395425938,15,Greed,74.0,0.7894736842105263
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1302.916428,7,8159.4742857142855,428550923.406165,6,Extreme Greed,75.0,0.8571428571428571
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20.599193,7,3426.62,857195867.2549912,1,Extreme Greed,81.0,0.14285714285714285
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3195.3074,111,1572.7824324324324,771998018.432541,109,Extreme Greed,81.0,0.9819819819819819
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,189.192,27,3224.6703703703706,429264122.0254642,12,Extreme Greed,83.0,0.4444444444444444
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-38.78086,11,1163.5172727272727,580016284.7534035,0,Extreme Greed,83.0,0.0
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,6671.296666666666,718.8156119815609,0,Extreme Greed,80.0,0.0
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,227.85100799999998,10,1530.983,776885000.0077479,9,Extreme Greed,80.0,0.9
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.097404,15,5794.291333333333,400020886.6281414,6,Extreme Greed,79.0,0.4
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1100.57514,45,2246.753777777778,1111148000.0202768,44,Extreme Greed,75.0,0.9777777777777777
2024-03-31,0x4f93fead39b70a1824f981a54d4e55b278e9f760,912.786145,13,3070.2276923076925,9494025.26102644,10,Extreme Greed,75.0,0.7692307692307693
2024-04-01,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,29,4654.808275862069,38637555.497818224,2,Extreme Greed,79.0,0.06896551724137931
2024-04-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2507.122467,48,4260.021458333334,1394351666.7393155,40,Extreme Greed,79.0,0.8333333333333334
2024-04-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.760812,37,6072.016756756757,505047352.00195456,12,Extreme Greed,79.0,0.32432432432432434
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,4,3749.9725,1325190252.596294,0,Extreme Greed,79.0,0.0
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,126.7884,2,3443.955,1690280002.3762534,1,Greed,71.0,0.5
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,4999.83,4992035000.009361,0,Greed,71.0,0.0
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,32,2999.6165625,100.73997556676694,0,Greed,70.0,0.0
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4444.4983010000005,10,17253.157,299969575.592219,7,Extreme Greed,79.0,0.7
2024-04-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5296.433789,82,3723.111585365854,1661227073.4599931,75,Extreme Greed,79.0,0.9146341463414634
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,965.5522159999999,8,3245.635,11.505584225731694,8,Extreme Greed,79.0,1.0
2024-04-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,236.33513399999998,16,4263.979375,312476085.64157337,4,Extreme Greed,75.0,0.25
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,23,2173.397391304348,104.58879827079251,0,Extreme Greed,78.0,0.0
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,28,5827.370357142857,122.73299175825,0,Extreme Greed,76.0,0.0
2024-04-08,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1218.4267,2,24387.135,12498175002.0774,1,Extreme Greed,76.0,0.5
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,19021.280000000002,237.8977965295193,0,Extreme Greed,80.0,0.0
2024-04-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,5207.443414,41,8578.926097560974,146317556.0753888,36,Extreme Greed,78.0,0.8780487804878049
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,389.743164,16,4775.06,750043945.6590064,2,Extreme Greed,76.0,0.125
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,21,7138.52761904762,276.92343360688847,0,Extreme Greed,79.0,0.0
2024-04-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2237.798674,93,2815.611935483871,895509785.765829,71,Extreme Greed,79.0,0.7634408602150538
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-2830.444513,15,2021.84,0.0015469107889354355,0,Extreme Greed,79.0,0.0
2024-04-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,18,8677.150000000001,118.30748404089844,0,Greed,72.0,0.0
2024-04-13,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,6621.451755,71,4651.021830985916,2088138030.008486,61,Greed,72.0,0.8591549295774648
2024-04-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,-36565.98544,64,9199.4678125,437441743.15416515,3,Greed,72.0,0.046875
2024-04-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,461.97292000000004,43,1637.1216279069768,616776279.4376324,30,Greed,72.0,0.6976744186046512
2024-04-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,16671.31666666667,216.88859655660556,0,Greed,74.0,0.0
2024-04-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3774.08872,38,6344.664210526315,3157887631.827483,35,Greed,74.0,0.9210526315789473
2024-04-16,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,0.0,1,91.08,0.06697058818605103,0,Greed,65.0,0.0
2024-04-16,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2467.702221,46,3952.523695652174,1956621304.4714143,43,Greed,65.0,0.9347826086956522
2024-04-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2441.4683999999997,14,6968.785000000001,3571587143.7315564,13,Greed,67.0,0.9285714285714286
2024-04-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1946.4454620000001,35,9635.940571428573,246255376.0201204,27,Greed,66.0,0.7714285714285715
2024-04-20,0x430f09841d65beb3f27765503d0f850b8bce7713,0.0,20,2436.6825,146568500.0259521,0,Greed,66.0,0.0
2024-04-20,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,2,5999.795,941.7428435586444,0,Greed,66.0,0.0
2024-04-22,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,9,5332.623333333333,371.51373156143956,0,Greed,73.0,0.0
